# gname               ra          dec         era       edec      l         b          el        eb        Class                Speak   eSpeak   Sint     eSint   RMS    SNR     Yf     Reff   Npix   Alpha    eAlpha  
  G003.0556+00.3317   267.86247   -26.14738   2.71E-5   2.71E-5   3.05564   0.33169    2.64E-5   2.49E-5   EgC                  0.76    0.11     0.67     0.11    0.1    7.36    0.88   0.61   19     -0.2     0.34    
  G003.0613-00.3457   268.51632   -26.487     2.19E-5   2.19E-5   3.06134   -0.34565   2.13E-5   2.0E-5    EgC                  0.87    0.11     0.7      0.1     0.1    9.12    0.81   0.61   19     0.01     0.57    
  G003.0861+00.4795   267.73834   -26.04565   1.76E-5   1.76E-5   3.08608   0.47951    1.73E-5   1.63E-5   EgC                  1.24    0.13     0.97     0.12    0.11   11.41   0.78   0.65   21     -0.84    0.25    
  G003.1136-00.2268   268.43145   -26.38167   9.62E-6   9.62E-6   3.11364   -0.22677   9.37E-6   8.82E-6   EgC                  2.33    0.17     1.98     0.15    0.11   21.58   0.85   0.8    32     -0.49    0.28    
  G003.1202+00.8730   267.3821    -25.81458   1.6E-5    1.6E-5    3.12017   0.87305    1.56E-5   1.48E-5   PN                   1.49    0.15     2.38     0.17    0.12   12.62   1.59   0.91   42     -0.27    0.24    
  G003.1238-00.6812   268.87529   -26.60268   1.25E-5   1.25E-5   3.12377   -0.68123   1.2E-5    1.15E-5   EgC                  1.55    0.13     1.26     0.12    0.1    16.33   0.82   0.72   26     -0.18    0.19    
  G003.1373-00.7762   268.97464   -26.63886   5.64E-6   5.64E-6   3.13726   -0.77617   5.53E-6   5.19E-6   EgC                  4.29    0.25     4.4      0.24    0.11   40.71   1.02   1.0    50     -1.02    0.13    
  G003.1387+00.1765   268.05836   -26.15509   1.72E-5   1.72E-5   3.13871   0.17652    1.67E-5   1.59E-5   Radio-star           1.16    0.12     1.03     0.11    0.1    11.71   0.89   0.71   25     -0.74    0.55    
  G003.1407-00.2873   268.50506   -26.389     9.48E-6   9.48E-6   3.14074   -0.28732   9.21E-6   8.89E-6   EgC                  2.36    0.17     1.9      0.14    0.11   21.92   0.81   0.79   31     -1.07    0.27    
  G003.1446+00.7492   267.51412   -25.85726   1.62E-5   1.62E-5   3.14457   0.74916    1.55E-5   1.5E-5    Radio-star           1.32    0.13     1.0      0.12    0.11   12.42   0.76   0.66   22     -0.02    0.3     
  G003.1568-00.5571   268.77405   -26.51156   7.02E-6   7.02E-6   3.15678   -0.55707   6.84E-6   6.5E-6    EgC                  3.32    0.21     3.46     0.2     0.11   30.87   1.04   0.94   44     -1.74    0.19    
  G003.1623+00.5681   267.69702   -25.93486   7.57E-6   7.57E-6   3.16226   0.56811    7.42E-6   6.97E-6   Radio-star           2.84    0.19     2.46     0.16    0.1    28.27   0.87   0.85   36     -0.68    0.12    
  G003.1684-00.0538   268.29622   -26.24672   7.72E-6   7.72E-6   3.1684    -0.05383   7.5E-6    7.09E-6   EgC                  2.81    0.19     2.31     0.16    0.1    27.62   0.82   0.8    32     -0.27    0.2     
  G003.1717-00.2598   268.49608   -26.34834   1.07E-5   1.07E-5   3.17172   -0.25979   1.04E-5   9.84E-6   EgC                  2.02    0.15     2.03     0.15    0.11   19.2    1.0    0.79   31     -1.22    0.3     
  G003.1938+00.2494   268.01972   -26.07057   2.75E-5   2.75E-5   3.19375   0.24945    2.7E-5    2.53E-5   EgC                  0.73    0.11     0.66     0.11    0.1    7.25    0.9    0.61   19     -0.0     0.6     
